age,income,expenditure,savings,taxes
25,50000,20000,15000,5000
30,60000,,20000,6000
,55000,21000,16000,5500
28,58000,19000,,5800
32,62000,22000,18000,
26,51000,19500,14500,4900
29,,20500,15500,5300
31,61000,21500,,6100
27,57000,,17000,5600
33,63000,22500,18500,6200
24,48000,18000,14000,4500
35,65000,23000,19000,6300
23,47000,,13500,4300
34,64000,23500,19500,6400
22,46000,17500,,4200
36,66000,24000,20000,6500
21,45000,17000,13500,4100
37,,24500,20500,6600
20,44000,16500,,4000
38,67000,25000,21000,6700
19,43000,,16000,3900
39,68000,25500,21500,6800
18,42000,15500,,3800
40,69000,26000,22000,
17,41000,,15000,3700
41,70000,26500,22500,6900
16,40000,14500,,3600
42,71000,27000,23000,7000
15,39000,,14000,3500
43,72000,27500,23500,7100
