age,sex,income,expenditure,savings,taxes
25,M,50000,20000,15000,5000
30,F,60000,25000,20000,6000
22,M,45000,18000,12000,4500
28,F,52000,22000,16000,5200
35,M,65000,30000,25000,6500
27,F,48000,19000,13000,4800
32,M,70000,32000,28000,7000
24,F,51000,21000,15000,5100
29,M,58000,24000,19000,5800
26,F,53000,23000,17000,5300
31,M,62000,26000,22000,6200
23,F,47000,20000,14000,4700
34,M,68000,31000,27000,6800
21,F,45000,19000,12000,4500
33,M,66000,29000,24000,6600
20,F,43000,18000,11000,4300
36,M,72000,34000,30000,7200
19,F,40000,17000,10000,4000
38,M,75000,36000,32000,7500
18,F,39000,16000,9000,3900
40,M,80000,40000,35000,8000
17,F,38000,15000,8000,3800
42,M,82000,42000,37000,8200
16,F,37000,14000,7000,3700
44,M,85000,44000,39000,8500
15,F,36000,13000,6000,3600
46,M,88000,46000,41000,8800
14,F,35000,12000,5000,3500
48,M,90000,48000,43000,9000
13,F,34000,11000,4000,3400
