ID,Color,Category
1,Red,CatA
2,Green,CatB
3,Blue,CatC
4,Yellow,CatA
5,Orange,CatB
6,Purple,CatC
7,Red,CatA
8,Green,CatB
9,Blue,CatC
10,Yellow,CatA
11,Orange,CatB
12,Purple,CatC
13,Red,CatA
14,Green,CatB
15,Blue,CatC
16,Yellow,CatA
17,Orange,CatB
18,Purple,CatC
19,Red,CatA
20,Green,CatB
21,Blue,CatC
22,Yellow,CatA
23,Orange,CatB
24,Purple,CatC
25,Red,CatA
26,Green,CatB
27,Blue,CatC
28,Yellow,CatA
29,Orange,CatB
30,Purple,CatC
31,Red,CatA
32,Green,CatB
33,Blue,CatC
34,Yellow,CatA
35,Orange,CatB
36,Purple,CatC
37,Red,CatA
38,Green,CatB
39,Blue,CatC
40,Yellow,CatA
41,Orange,CatB
42,Purple,CatC
43,Red,CatA
44,Green,CatB
45,Blue,CatC
46,Yellow,CatA
47,Orange,CatB
48,Purple,CatC
49,Red,CatA
50,Green,CatB
51,Blue,CatC
52,Yellow,CatA
53,Orange,CatB
54,Purple,CatC
55,Red,CatA
56,Green,CatB
57,Blue,CatC
58,Yellow,CatA
59,Orange,CatB
60,Purple,CatC
61,Red,CatA
62,Green,CatB
63,Blue,CatC
64,Yellow,CatA
65,Orange,CatB
66,Purple,CatC
67,Red,CatA
68,Green,CatB
69,Blue,CatC
70,Yellow,CatA
71,Orange,CatB
72,Purple,CatC
73,Red,CatA
74,Green,CatB
75,Blue,CatC
76,Yellow,CatA
77,Orange,CatB
78,Purple,CatC
79,Red,CatA
80,Green,CatB
81,Blue,CatC
82,Yellow,CatA
83,Orange,CatB
84,Purple,CatC
85,Red,CatA
86,Green,CatB
87,Blue,CatC
88,Yellow,CatA
89,Orange,CatB
90,Purple,CatC
91,Red,CatA
92,Green,CatB
93,Blue,CatC
94,Yellow,CatA
95,Orange,CatB
96,Purple,CatC
97,Red,CatA
98,Green,CatB
99,Blue,CatC
100,Yellow,CatA
