id,age,gender,education,income
1,34,Male,Bachelor,56000
2,28,Female,Master,65000
3,45,Male,PhD,80000
4,23,Female,Bachelor,48000
5,37,Male,Master,72000
6,31,Female,Master,69000
7,29,Male,Bachelor,53000
8,41,Female,PhD,85000
9,26,Male,Bachelor,50000
10,33,Female,Master,61000
11,38,Male,PhD,78000
12,24,Female,Bachelor,47000
13,36,Male,Master,70000
14,30,Female,Master,64000
15,27,Male,Bachelor,51000
16,39,Female,PhD,82000
17,32,Male,Master,68000
18,25,Female,Bachelor,49000
19,40,Male,PhD,83000
20,29,Female,Master,63000
21,35,Male,Bachelor,55000
22,28,Female,Master,66000
23,42,Male,PhD,81000
24,22,Female,Bachelor,46000
25,34,Male,Master,71000
26,31,Female,Master,67000
27,27,Male,Bachelor,52000
28,43,Female,PhD,84000
29,30,Male,Master,69000
30,26,Female,Bachelor,48000
31,37,Male,Master,73000
32,24,Female,Master,60000
33,39,Male,PhD,79000
34,28,Female,Bachelor,50000
35,33,Male,Master,72000
36,25,Female,Master,61000
37,41,Male,PhD,82000
38,29,Female,Master,64000
39,36,Male,Bachelor,56000
40,23,Female,Bachelor,47000
41,38,Male,Master,70000
42,32,Female,PhD,81000
43,27,Male,Master,65000
44,34,Female,Bachelor,51000
45,30,Male,Master,68000
46,25,Female,Master,60000
47,40,Male,PhD,83000
48,26,Female,Bachelor,49000
49,35,Male,Master,71000
50,24,Female,Master,62000
