feature1,feature2,target
10,100,1000
20,200,2000
30,300,3000
40,400,4000
50,500,5000
60,650,7200
70,800,8500
55,500,6000
80,900,9500
65,750,8000
90,1000,11000
75,850,9000
85,950,10000
95,1050,11500
100,1100,12000
105,1150,12500
110,1200,13000
115,1250,13500
120,1300,14000
125,1350,14500
130,1400,15000
135,1450,15500
140,1500,16000
145,1550,16500
150,1600,17000
155,1650,17500
160,1700,18000
165,1750,18500
170,1800,19000
175,1850,19500
180,1900,20000
185,1950,20500
190,2000,21000
195,2050,21500
200,2100,22000
205,2150,22500
210,2200,23000
215,2250,23500
220,2300,24000
225,2350,24500
230,2400,25000
235,2450,25500
240,2500,26000
245,2550,26500
250,2600,27000
255,2650,27500
260,2700,28000
265,2750,28500
270,2800,29000
275,2850,29500
280,2900,30000
285,2950,30500
290,3000,31000
295,3050,31500
300,3100,32000
305,3150,32500
310,3200,33000
315,3250,33500
320,3300,34000
325,3350,34500
330,3400,35000
335,3450,35500
340,3500,36000
345,3550,36500
350,3600,37000
355,3650,37500
360,3700,38000
365,3750,38500
370,3800,39000
375,3850,39500
380,3900,40000
385,3950,40500
390,4000,41000
395,4050,41500
400,4100,42000
405,4150,42500
410,4200,43000
415,4250,43500
420,4300,44000
425,4350,44500
430,4400,45000
435,4450,45500
440,4500,46000
445,4550,46500
450,4600,47000
455,4650,47500
460,4700,48000
465,4750,48500
470,4800,49000
475,4850,49500
480,4900,50000
485,4950,50500
490,5000,51000
495,5050,51500
500,5100,52000
505,5150,52500
510,5200,53000
515,5250,53500
520,5300,54000
525,5350,54500
530,5400,55000
535,5450,55500
540,5500,56000
545,5550,56500
550,5600,57000
555,5650,57500
560,5700,58000
565,5750,58500
570,5800,59000
575,5850,59500
580,5900,60000
585,5950,60500
590,6000,61000
595,6050,61500
600,6100,62000
