cg,marks,placement
3.5,85,True
3.7,90,True
2.8,60,False
4.0,95,True
1.9,30,False
3.2,70,False
3.9,88,True
0.5,100,False
4.2,105,True
2.5,55,False
2.3,58,False
3.1,75,True
4.0,92,True
1.5,45,False
3.8,85,True
2.7,60,False
3.4,78,True
2.0,50,False
3.6,80,True
4.1,95,True
1.8,40,False
3.3,70,True
2.5,55,False
3.9,88,True
2.2,52,False
3.7,82,True
1.6,48,False
3.5,77,True
2.4,59,False
3.2,73,True
4.3,98,True
1.4,42,False
3.0,68,True
2.6,56,False
3.8,83,True
2.1,53,False
3.4,76,True
1.7,46,False
3.6,79,True
2.3,57,False
3.1,74,True
4.2,96,True
1.9,44,False
3.5,81,True
2.4,54,False
3.7,85,True
2.0,51,False
3.3,72,True
4.0,93,True
1.5,43,False
3.2,69,True
2.5,58,False
3.8,84,True
2.2,49,False
3.6,78,True
1.6,47,False
3.4,75,True
2.1,55,False
3.9,86,True
2.3,60,False
3.0,71,True
4.1,94,True
1.8,41,False
3.5,80,True
2.4,53,False
3.7,83,True
2.0,52,False
3.3,74,True
4.0,97,True
1.4,39,False
3.2,67,True
2.5,57,False
3.8,82,True
2.2,50,False
3.6,77,True
1.7,45,False
3.4,73,True
2.1,56,False
3.9,89,True
2.3,59,False
3.0,70,True
4.2,99,True
1.5,43,False
3.5,79,True
2.4,54,False
3.7,81,True
2.0,50,False
3.3,76,True
4.1,95,True
1.6,44,False
3.2,68,True
2.5,58,False
3.8,85,True
2.2,51,False
3.6,80,True
1.8,42,False
3.4,74,True
2.1,57,False
3.9,90,True
2.3,61,False
3.0,72,True
4.3,100,True
1.9,40,False
3.5,78,True
2.4,55,False
3.7,82,True
2.0,49,False
3.3,75,True
4.0,94,True
1.4,41,False
3.2,66,True
2.5,56,False
3.8,83,True
2.2,52,False
3.6,79,True
1.7,46,False
3.4,73,True
2.1,54,False
3.9,87,True
2.3,60,False
